Topic,Keywords,Num_Docs,Children,Parent,Level
36,"['silurian', 0.002895559184253216), 'p-t', 0.002895559184253216), 'hinterland', 0.002895559184253216), 'metamorphic', 0.002895559184253216), 'climate', 2.8668902814388275e-05), 'using', 2.8668902814388275e-05), 'soil', 2.8668902814388275e-05), 'rate', 2.8668902814388275e-05), 'system', 2.8668902814388275e-05), 'surface', 2.8668902814388275e-05)]",1,[],160,3
37,"['channel', 0.04276959225535393), 'stream', 0.028517382219433784), 'bank', 0.025926070287823677), 'donax', 0.01685648038983345), 'pool', 0.012969513423740864), 'urban', 0.01167385745793581), 'urbanization', 0.01167385745793581), 'geomorphic', 0.010378202423453331), 'morphology', 0.010378202423453331), 'riparian', 0.009082546457648277)]",6,[],16,3
38,"['grass', 0.03923036903142929), 'native', 0.032494522631168365), 'specie', 0.029324712231755257), 'soil', 0.02179640904068947), 'perennial', 0.02021150477230549), 'coral', 0.019022826105356216), 'annual', 0.01862659864127636), 'exotic', 0.017437919974327087), 'plant', 0.01545678824186325), 'seedling', 0.013475656509399414)]",25,[],16,3
39,"['pbic', 0.01994943618774414), 'nanotechnology', 0.019362859427928925), 'science', 0.015843408182263374), 'ucsb', 0.01408368069678545), 'program', 0.013497104868292809), 'deployment', 0.0123239541426301), 'equipment', 0.011150802485644817), 'earthquake', 0.010564226657152176), 'instrument', 0.009977650828659534), 'field', 0.009391075931489468)]",24,[],16,3
40,"['antarctic', 0.019598981365561485), 'sea', 0.019598981365561485), 'ross', 0.019598981365561485), 'west', 0.018092526122927666), 'ice', 0.016586070880293846), 'miocene', 0.015079616568982601), 'early', 0.013573161326348782), 'grain', 0.013573161326348782), 'glacial', 0.012066706083714962), 'extension', 0.010560250841081142)]",5,[48],8,2
41,"['rock', 0.027125755324959755), 'zircon', 0.019991153851151466), 'element', 0.01856423355638981), 'pluton', 0.014283472672104836), 'arc', 0.01142963208258152), 'volcanic', 0.01142963208258152), 'metasediments', 0.010002711787819862), 'geochemistry', 0.010002711787819862), 'differentiation', 0.010002711787819862), 'melt', 0.010002711787819862)]",6,[64],8,2
42,"['mio-pliocene', 0.002920679049566388), 'change', 2.89176132355351e-05), 'water', 2.89176132355351e-05), 'specie', 2.89176132355351e-05), 'climate', 2.89176132355351e-05), 'using', 2.89176132355351e-05), 'soil', 2.89176132355351e-05), 'rate', 2.89176132355351e-05), 'system', 2.89176132355351e-05), 'surface', 2.89176132355351e-05)]",2,[350],370,2
43,"['leaf', 0.02534324675798416), 'glauca', 0.01991642825305462), 'officinalis', 0.014489607885479927), 'seedling', 0.014489607885479927), 'year', 0.012680668383836746), 'agrifolia', 0.012680668383836746), 'value', 0.010871728882193565), 'drought', 0.010871728882193565), 'lobata', 0.00906278844922781), 'adult', 0.007253848947584629)]",3,[525],8,2
44,"['10be', 0.0673215463757515), 'meteoric', 0.046286847442388535), 'soil', 0.022096948698163033), 'rate', 0.019993480294942856), 'inventory', 0.018941745162010193), 'site', 0.01789001002907753), 'regolith', 0.016838274896144867), 'erosion', 0.014734805561602116), 'deposition', 0.01263133529573679), 'production', 0.01263133529573679)]",13,"[504, 118]",8,2
45,"['g-cn', 0.011584202758967876), 'hollow', 0.011584202758967876), 'assembly', 0.011584202758967876), 'sphere', 0.009656715206801891), 'ceria', 0.007729227188974619), 'nitride', 0.007729227188974619), 'carbon', 0.007729227188974619), 'cooperative', 0.007729227188974619), 'morphology', 0.005801738705486059), 'mca', 0.005801738705486059)]",8,"[272, 60]",8,2
46,"['route', 0.014281980693340302), 'collision', 0.014281980693340302), 'cable', 0.014281980693340302), 'crane', 0.014281980693340302), 'transit', 0.011905611492693424), 'gps-guidance', 0.011905611492693424), 'algorithm', 0.009529241360723972), 'avoidance', 0.009529241360723972), 'immune', 0.007152871694415808), 'artificial', 0.007152871694415808)]",1,[506],8,2
47,"['organization', 0.01715901680290699), 'accountability', 0.015016816556453705), 'group', 0.015016816556453705), 'civil', 0.015016816556453705), 'state', 0.015016816556453705), 'society', 0.015016816556453705), 'international', 0.015016816556453705), 'world', 0.008590219542384148), 'motivated', 0.008590219542384148), 'processing', 0.00644801976159215)]",4,[63],8,2
