id,Name,PI_primary_dept,PI_scholar_url,PI_scholar_keywords
52,Jacob Israelachvili,Chemical Engineering,https://scholar.google.com/citations?user=3logIuYAAAAJ&view_op=list_works&sortby=pubdate,surface forces
12,Kelsey Jack,Bren,https://scholar.google.com/citations?user=RaYb-oMAAAAJ&view_op=list_works&sortby=pubdate,"Microeconomics, Field Experiments, Environmental Economics, Development Economics"
53,Matthew Jackson,Earth Science,https://scholar.google.com/citations?user=dDNiAwEAAAAJ&view_op=list_works&sortby=pubdate,"Geochemistry, Geology"
54,Greg Janee,ERI,none,none
112,Krzysztof Janowicz,Geography,https://scholar.google.com/citations?user=6B2Z9vAAAAAJ&view_op=list_works&sortby=pubdate,"GIScience, Semantic Web, Geospatial Semantics, Spatial Data Science, Web Science"
13,Scott Jasechko,Bren,https://scholar.google.com/citations?user=9lzSDgcAAAAJ&view_op=list_works&sortby=pubdate,"water resources, large data, geochemistry, hydrology, global change"
55,Chen Ji,Earth Science,https://scholar.google.com/citations?user=M0ZSdNUAAAAJ&view_op=list_works&sortby=pubdate,Earthquake Seismology
56,Brenda Johnson,Library,none,none
57,Charles Jones,Geography,https://scholar.google.com/citations?user=PHyhP_AAAAAJ&view_op=list_works&sortby=pubdate,"meteorology, climate, climate change, predictability, climate variability"
159,Carrie Kappel,NCEAS,https://scholar.google.com/citations?user=icGWVrkAAAAJ&view_op=list_works&sortby=pubdate,"marine conservation biology, community ecology, spatial ecology, ocean and coastal management"
58,Matthew Kay,ERI,none,none
59,Arturo Keller,Bren,https://scholar.google.com/citations?user=zXQpymQAAAAJ&view_op=list_works&sortby=pubdate,"Environment, Water Resources Management"
61,Dawn Kellett,Earth Science,https://scholar.google.com/citations?user=xplysJkAAAAJ&view_op=list_works&sortby=pubdate,"Tectonics, Geochronology, Thermochronology"
62,Bruce Kendall,Bren,https://scholar.google.com/citations?user=sD8YzJgAAAAJ&view_op=list_works&sortby=pubdate,"Theoretical Ecology, Conservation Biology, Population Ecology, Fisheries Management"
63,Jennifer King,Geography,https://scholar.google.com/citations?user=yaLhLgkAAAAJ&view_op=list_works&sortby=pubdate,"Biogeochemistry, Earth System Science"
64,Bernard Kirtman,Chemistry,none,none
161,Roland Knapp,ERI,https://scholar.google.com/citations?user=gBsUGUgAAAAJ&view_op=list_works&sortby=pubdate,
65,Charles Kolstad,Economics,none,none
66,Helena Kooijman,Earth Science,none,none
